,power_output,NYC_demand,Pdifference,PV2G,Pdifference_left,Power_missing,Charging,Discharging,Critical,Driving,Missing_noscale,Blocked_high,Blocked_low,P_Blocked_high,P_Blocked_low,P_driving,Total,P_balance_without,P_balance_with_missing
2013-01-01 02:45:00,8869.761896000002,4211.29,4658.471896000002,-4650.0,4658.471896000002,0,93000,0,0,80,0,5295,0,0.1965478841870824,0.0,0,116179.92116856016,65.6545685000001,65.6545685000001
2013-01-01 03:00:00,8888.8155685,4173.161,4715.6545685,-4700.0,4715.6545685,0,94000,0,0,37,0,5301,0,0.1967706013363029,0.0,0,117228.03444125543,64.11294099999941,64.11294099999941
2013-01-01 03:15:00,8907.869241,4143.7563,4764.112940999999,-4750.0,4764.112940999999,0,95000,0,0,20,0,5305,0,0.1969190794357832,0.0,0,118403.88619014574,34.31223575000149,34.31223575000149
2013-01-01 03:30:00,8904.348235750002,4120.036,4784.3122357500015,-4775.0,4784.3122357500015,0,95500,0,0,37,0,5305,0,0.1969190794357832,0.0,0,119120.7519214742,30.1670305000016,30.1670305000016
2013-01-01 03:45:00,8900.827230500001,4095.6602,4805.167030500002,-4800.0,4805.167030500002,0,96000,0,0,56,0,5293,0,0.19647364513734225,0.0,0,119783.24301792413,31.899025250001614,31.899025250001614
2013-01-01 04:00:00,8897.30622525,4065.4072,4831.899025250002,-4825.0,4831.899025250002,0,96500,0,0,45,0,5297,0,0.19662212323682257,0.0,0,120368.08963792944,24.1160200000013,24.1160200000013
2013-01-01 04:15:00,8893.785220000002,4044.6692,4849.116020000001,-4825.0,4849.116020000001,0,96500,0,0,128,0,5288,0,0.19628804751299184,0.0,0,120781.91785913399,-7.172231249998731,-7.172231249998731
2013-01-01 04:30:00,8827.20976875,4009.382,4817.827768750001,-4800.0,4817.827768750001,0,96000,0,0,105,0,5283,0,0.19610244988864142,0.0,0,120000.00000000001,-71.2123825000017,-71.2123825000017
2013-01-01 04:45:00,8760.634317499998,4031.8467,4728.787617499998,-4725.0,4728.787617499998,0,94500,0,0,187,0,5271,0,0.19565701559020043,0.0,0,118509.91527790709,-45.508133750001434,-45.508133750001434
2013-01-01 05:00:00,8694.05886625,4014.567,4679.491866249999,-4675.0,4679.491866249999,0,93500,0,0,206,0,5264,0,0.1953971789161099,0.0,0,117321.3786679087,-31.27778500000113,-31.27778500000113
2013-01-01 05:15:00,8627.483414999999,3983.7612,4643.722214999999,-4625.0,4643.722214999999,0,92500,0,0,274,0,5268,0,0.1955456570155902,0.0,0,116457.1455276194,-22.401820750001207,-22.401820750001207
2013-01-01 05:30:00,8630.338179249999,4027.74,4602.598179249999,-4600.0,4602.598179249999,0,92000,0,0,460,0,5227,0,0.19402375649591685,0.0,0,116617.88923916624,2.6121434999986377,2.6121434999986377
2013-01-01 05:45:00,8633.192943499998,4030.5808,4602.612143499999,-4600.0,4602.612143499999,0,92000,0,0,704,0,5156,0,0.19138827023014104,0.0,0,117574.95256166982,-12.162692249999964,-12.162692249999964
2013-01-01 06:00:00,8636.04770775,4048.2104,4587.83730775,-4575.0,4587.83730775,0,91500,0,0,641,0,5161,0,0.19157386785449146,0.0,0,116615.10076639228,-20.484028000001672,-20.484028000001672
2013-01-01 06:15:00,8638.902472,4084.3865,4554.515971999998,-4550.0,4554.515971999998,0,91000,0,0,951,0,5129,0,0.19038604305864884,0.0,0,117523.48993288589,13.32997075000003,13.32997075000003
2013-01-01 06:30:00,8660.80947075,4097.4795,4563.32997075,-4550.0,4563.32997075,0,91000,0,0,936,0,5108,0,0.18960653303637715,0.0,0,117321.01837672282,-3.705930500001159,-3.705930500001159
2013-01-01 06:45:00,8682.7164695,4136.4224,4546.294069499999,-4525.0,4546.294069499999,0,90500,0,0,1565,0,4998,0,0.18552338530066814,0.0,0,119648.13269863081,-10.979531750000206,-10.979531750000206
2013-01-01 07:00:00,8704.62346825,4190.603,4514.02046825,-4500.0,4514.02046825,0,90000,0,0,1736,0,4973,0,0.1845953971789161,0.0,0,119845.7812268301,58.766467000000375,58.766467000000375
2013-01-01 07:15:00,8726.530467,4167.764,4558.766467,-4550.0,4558.766467,0,91000,0,0,2614,0,4792,0,0.17787676317743134,0.0,0,125501.17743421727,-42.3244512500014,-42.3244512500014
2013-01-01 07:30:00,8728.25654875,4220.581,4507.675548749999,-4500.0,4507.675548749999,0,90000,0,0,2871,0,4716,0,0.17505567928730512,0.0,0,125282.9018756782,1.0353305000007822,1.0353305000007822
2013-01-01 07:45:00,8729.9826305,4228.9473,4501.035330500001,-4500.0,4501.035330500001,0,90000,0,0,3526,0,4656,0,0.17282850779510023,0.0,0,129256.85041049153,-9.34348775000035,-9.34348775000035
2013-01-01 08:00:00,8731.70871225,4241.0522,4490.65651225,-4475.0,4490.65651225,0,89500,0,0,3596,0,4579,0,0.16997030438010394,0.0,0,128490.80735411671,-18.57250600000134,-18.57250600000134
2013-01-01 08:15:00,8733.434793999999,4277.0073,4456.427493999999,-4450.0,4456.427493999999,0,89000,0,0,3771,0,4525,0,0.16796585003711953,0.0,0,128602.231280841,-8.16355625000142,-8.16355625000142
2013-01-01 08:30:00,8753.72444375,4311.888,4441.836443749999,-4425.0,4441.836443749999,0,88500,0,0,3286,0,4695,0,0.17427616926503342,0.0,0,125755.05037185506,-22.737906500001372,-22.737906500001372
2013-01-01 08:45:00,8774.0140935,4371.752,4402.262093499999,-4400.0,4402.262093499999,0,88000,0,0,3180,0,4673,0,0.1734595397178916,0.0,0,124206.00408655107,8.19634324999879,8.19634324999879
2013-01-01 09:00:00,8794.303743249999,4386.1074,4408.196343249999,-4400.0,4408.196343249999,0,88000,0,0,2742,0,4758,0,0.17661469933184856,0.0,0,121950.61728395063,107.52539299999899,107.52539299999899
2013-01-01 09:15:00,8814.593393000001,4307.068,4507.525392999999,-4500.0,4507.525392999999,0,90000,0,0,2485,0,4818,0,0.17884187082405345,0.0,0,123470.99862504455,-36.73978275000081,-36.73978275000081
2013-01-01 09:30:00,8822.66321725,4359.403,4463.260217249999,-4450.0,4463.260217249999,0,89000,0,0,2150,0,4892,0,0.1815887156644395,0.0,0,120497.53744094883,-13.735258500002601,-13.735258500002601
2013-01-01 09:45:00,8830.733041499998,4394.4683,4436.264741499997,-4425.0,4436.264741499997,0,88500,0,0,2007,0,4889,0,0.18147735708982926,0.0,0,118947.81480742368,-9.230834250000044,-9.230834250000044
2013-01-01 10:00:00,8838.80286575,4423.0337,4415.76916575,-4400.0,4415.76916575,0,88000,0,0,1865,0,4919,0,0.1825909428359317,0.0,0,117618.57511410995,-7.954909999998563,-7.954909999998563
2013-01-01 10:15:00,8846.87269,4454.8276,4392.045090000001,-4375.0,4392.045090000001,0,87500,0,0,2281,0,4881,0,0.1811804008908686,0.0,0,119185.45859035292,-36.490169000001515,-36.490169000001515
2013-01-01 10:30:00,8848.472230999998,4509.9624,4338.5098309999985,-4325.0,4338.5098309999985,0,86500,0,0,1786,0,4965,0,0.18429844097995546,0.0,0,115424.7362425083,-163.64552800000092,-163.64552800000092
2013-01-01 10:45:00,8850.071772,4688.7173,4161.354471999999,-4150.0,4161.354471999999,0,83000,0,0,1829,0,4947,0,0.183630289532294,0.0,0,110891.68815711168,-7.418986999999106,-7.418986999999106
2013-01-01 11:00:00,8851.671312999999,4709.0903,4142.581013000001,-4125.0,4142.581013000001,0,82500,0,0,1704,0,4964,0,0.18426132145508536,0.0,0,109636.44435674821,-14.320146000000022,-14.320146000000022
2013-01-01 11:15:00,8853.270854,4742.590999999999,4110.679854,-4100.0,4110.679854,0,82000,0,0,2124,0,4862,0,0.18047512991833706,0.0,0,110708.6298486519,-15.010757499998817,-15.010757499998817
2013-01-01 11:30:00,8870.4742425,4785.485,4084.989242500001,-4075.0,4084.989242500001,0,81500,0,0,1821,0,4923,0,0.18273942093541204,0.0,0,108715.09209744506,18.236231000001226,18.236231000001226
2013-01-01 11:45:00,8887.677631,4794.4414,4093.236231000001,-4075.0,4093.236231000001,0,81500,0,0,1939,0,4933,0,0.18311061618411284,0.0,0,109408.51106238789,6.839519499999824,6.839519499999824
2013-01-01 12:00:00,8904.881019499999,4823.0415,4081.8395195,-4075.0,4081.8395195,0,81500,0,0,2010,0,4902,0,0.18195991091314032,0.0,0,109627.02216896346,-15.439992000000075,-15.439992000000075
2013-01-01 12:15:00,8922.084408,4862.5244,4059.560008,-4050.0,4059.560008,0,81000,0,0,2326,0,4814,0,0.17869339272457313,0.0,0,110209.0909090909,-10.733323750001091,-10.733323750001091
2013-01-01 12:30:00,8904.59667625,4865.33,4039.266676249999,-4025.0,4039.266676249999,0,80500,0,0,2051,0,4898,0,0.18181143281366,0.0,0,108482.31704266921,-16.911055500001112,-16.911055500001112
2013-01-01 12:45:00,8887.1089445,4879.02,4008.088944499999,-4000.0,4008.088944499999,0,80000,0,0,2008,0,4900,0,0.18188567186340016,0.0,0,107587.85942492013,-14.167787249998582,-14.167787249998582
2013-01-01 13:00:00,8869.62121275,4883.789000000001,3985.8322127500014,-3975.0,3985.8322127500014,0,79500,0,0,1705,0,4971,0,0.18452115812917594,0.0,0,105691.37386498223,-65.66921899999898,-65.66921899999898
2013-01-01 13:15:00,8852.133481,4942.8027,3909.330781000001,-3900.0,3909.330781000001,0,78000,0,0,1937,0,4905,0,0.18207126948775057,0.0,0,104553.68693402328,9.184073500000068,9.184073500000068
2013-01-01 13:30:00,8821.4120735,4912.228,3909.1840735,-3900.0,3909.1840735,0,78000,0,0,1968,0,4918,0,0.18255382331106162,0.0,0,104783.08566869452,-23.714634000000387,-23.714634000000387
2013-01-01 13:45:00,8790.690666,4914.4053,3876.2853659999996,-3875.0,3876.2853659999996,0,77500,0,0,2099,0,4895,0,0.18170007423904974,0.0,0,104675.12283164544,-46.40074149999873,-46.40074149999873
2013-01-01 14:00:00,8759.969258500001,4931.37,3828.5992585000013,-3825.0,3828.5992585000013,0,76500,0,0,2051,0,4903,0,0.18199703043801038,0.0,0,103117.68237766437,-47.1471489999999,-47.1471489999999
2013-01-01 14:15:00,8729.247851,4951.395,3777.852851,-3775.0,3777.852851,0,75500,0,0,2671,0,4754,0,0.17646622123236821,0.0,0,104225.98001537278,-10.001647250000133,-10.001647250000133
2013-01-01 14:30:00,8691.43235275,4926.434,3764.99835275,-3750.0,3764.99835275,0,75000,0,0,2543,0,4818,0,0.17884187082405345,0.0,0,103197.30323305582,-17.19854549999991,-17.19854549999991
2013-01-01 14:45:00,8653.6168545,4920.8154,3732.8014545,-3725.0,3732.8014545,0,74500,0,0,3009,0,4692,0,0.17416481069042317,0.0,0,104320.91065024168,-30.663043749999815,-30.663043749999815
2013-01-01 15:00:00,8615.80135625,4921.4644,3694.33695625,-3675.0,3694.33695625,0,73500,0,0,3109,0,4665,0,0.17316258351893096,0.0,0,103312.63696128562,-25.182142000001022,-25.182142000001022
2013-01-01 15:15:00,8577.985857999998,4928.168,3649.817857999999,-3625.0,3649.817857999999,0,72500,0,0,4098,0,4457,0,0.16544172234595397,0.0,0,106236.06200707098,-17.984869500001423,-17.984869500001423
2013-01-01 15:30:00,8538.030730499999,4931.0156,3607.0151304999986,-3600.0,3607.0151304999986,0,72000,0,0,3485,0,4563,0,0.16937639198218263,0.0,0,102672.0304890959,-14.87739700000111,-14.87739700000111
2013-01-01 15:45:00,8498.075603,4912.9529999999995,3585.122602999999,-3575.0,3585.122602999999,0,71500,0,0,3653,0,4575,0,0.16982182628062362,0.0,0,102939.82471141513,-90.19402450000234,-90.19402450000234
